Date,Close
2015-01-02,154.79
2015-01-05,152.36
2015-01-06,149.07
2015-01-07,148.10
2015-01-08,151.32
2015-01-09,151.98
2015-01-12,149.43
2015-01-13,149.78
2015-01-14,148.81
2015-01-15,147.64
2015-01-16,150.09
2015-01-20,149.91
2015-01-21,145.27
2015-01-22,148.42
2015-01-23,148.88
2015-01-26,149.35
2015-01-27,146.78
2015-01-28,144.76
2015-01-29,148.51
2015-01-30,146.44
2015-02-02,147.73
2015-02-03,151.36
2015-02-04,149.92
2015-02-05,150.83
2015-02-06,149.69
2015-02-09,148.77
2015-02-10,151.45
2015-02-11,151.11
2015-02-12,151.41
2015-02-13,153.21
2015-02-17,153.74
2015-02-18,154.92
2015-02-19,156.54
2015-02-20,156.31
2015-02-23,155.61
2015-02-24,157.44
2015-02-25,155.51
2015-02-26,153.66
2015-02-27,154.68
2015-03-02,153.28
2015-03-03,153.81
2015-03-04,152.27
2015-03-05,153.95
2015-03-06,151.39
2015-03-09,153.56
2015-03-10,150.73
2015-03-11,149.77
2015-03-12,150.90
2015-03-13,147.36
2015-03-16,150.04
2015-03-17,149.92
2015-03-18,152.64
2015-03-19,152.64
2015-03-20,155.58
2015-03-23,157.25
2015-03-24,155.69
2015-03-25,152.06
2015-03-26,153.39
2015-03-27,153.21
2015-03-30,155.38
2015-03-31,153.30
2015-04-01,152.04
2015-04-02,153.26
2015-04-06,154.77
2015-04-07,154.80
2015-04-08,154.59
2015-04-09,155.06
2015-04-10,155.56
2015-04-13,155.10
2015-04-14,155.02
2015-04-15,156.77
2015-04-16,155.82
2015-04-17,153.47
2015-04-20,158.71
2015-04-21,156.90
2015-04-22,157.95
2015-04-23,162.61
2015-04-24,162.17
2015-04-27,163.08
2015-04-28,166.12
2015-04-29,166.58
2015-04-30,163.61
2015-05-01,165.88
2015-05-04,166.17
2015-05-05,165.32
2015-05-06,162.43
2015-05-07,163.32
2015-05-08,164.94
2015-05-11,163.45
2015-05-12,162.90
2015-05-13,164.56
2015-05-14,166.25
2015-05-15,165.49
2015-05-18,165.30
2015-05-19,165.70
2015-05-20,165.97
2015-05-21,165.57
2015-05-22,164.50
2015-05-26,162.50
2015-05-27,164.29
2015-05-28,164.01
