Date,Close
2021-11-10,100.73
2021-11-11,122.99
2021-11-12,129.95
2021-11-15,149.36
2021-11-16,172.01
2021-11-17,146.07
2021-11-18,123.38
2021-11-19,128.60
2021-11-22,118.11
2021-11-23,119.85
2021-11-24,114.85
2021-11-26,112.13
2021-11-29,119.77
2021-11-30,119.76
2021-12-01,115.69
2021-12-02,110.77
2021-12-03,104.67
2021-12-06,116.78
2021-12-07,116.18
2021-12-08,122.12
2021-12-09,115.40
2021-12-10,114.66
2021-12-13,118.90
2021-12-14,117.14
2021-12-15,115.00
2021-12-16,108.87
2021-12-17,97.70
2021-12-20,89.98
2021-12-21,96.82
2021-12-22,96.34
2021-12-23,96.84
2021-12-27,107.09
2021-12-28,102.87
2021-12-29,99.34
2021-12-30,103.42
